,Current URL,Title,Batch
0,https://ssc.wisc.edu/sscc/pubs/1-11.htm,Using SFTP ,
1,https://ssc.wisc.edu/sscc/pubs/1-13.htm,Connecting to SSCC Computers Using a WinTerm,
2,https://ssc.wisc.edu/sscc/pubs/1-14.htm,Virus Protection at the SSCC,
3,https://ssc.wisc.edu/sscc/pubs/1-15.htm,How to Change Your SSCC Passwords,
4,https://ssc.wisc.edu/sscc/pubs/1-21.htm,Getting SSCC Announcements via RSS,
5,https://ssc.wisc.edu/sscc/pubs/1-4.htm,Publishing a Web Site on the SSCC's Web Server,
6,https://ssc.wisc.edu/sscc/pubs/4-11.htm,Using Compressed Data in SAS,
7,https://ssc.wisc.edu/sscc/pubs/4-12.htm,Creating SAS Transport Files,
8,https://ssc.wisc.edu/sscc/pubs/4-13.htm,Programming in Color,
9,https://ssc.wisc.edu/sscc/pubs/4-16.htm,Finding and Installing User-Written Stata Programs,
10,https://ssc.wisc.edu/sscc/pubs/4-17.htm,Using Stat/Transfer,
11,https://ssc.wisc.edu/sscc/pubs/4-18.htm,An Introduction to SAS Data Steps,
12,https://ssc.wisc.edu/sscc/pubs/4-19.htm,Storing SAS Formats,
13,https://ssc.wisc.edu/sscc/pubs/4-20.htm,Saving SAS Graphs For Printing or Other Uses,
14,https://ssc.wisc.edu/sscc/pubs/4-21.htm,A Simple Procedure for Producing Publication-Quality Graphs using SAS,
15,https://ssc.wisc.edu/sscc/pubs/4-22.htm,Making Predictions with Counter-Factual Data in Stata,
16,https://ssc.wisc.edu/sscc/pubs/4-23.htm,Using Stata Graphs in Documents ,
17,https://ssc.wisc.edu/sscc/pubs/4-24.htm,An Introduction to Stata Graphics,
18,https://ssc.wisc.edu/sscc/pubs/4-25.htm,Including Calculated Results In Stata Graphs ,
19,https://ssc.wisc.edu/sscc/pubs/4-26.htm,An Introduction to Mata ,
20,https://ssc.wisc.edu/sscc/pubs/4-27.htm,Bootstrapping in Stata ,
21,https://ssc.wisc.edu/sscc/pubs/4-28.htm, Using Reshape to Manage Hierarchical Data,
22,https://ssc.wisc.edu/sscc/pubs/4-8.htm,Redirecting and Customizing Tabular Output in SAS,
23,https://ssc.wisc.edu/sscc/pubs/5-12.htm,Keeping Your PC Secure,
24,https://ssc.wisc.edu/sscc/pubs/5-13.htm,Writing a CD Using Ahead Nero,
25,https://ssc.wisc.edu/sscc/pubs/5-15.htm,Printing on Special Paper,
26,https://ssc.wisc.edu/sscc/pubs/5-17.htm,Creating Web Pages Using Dreamweaver,
27,https://ssc.wisc.edu/sscc/pubs/5-2.htm,Connecting to SSCC Linux Computers using X-Win32,
28,https://ssc.wisc.edu/sscc/pubs/5-22.htm,Cleaning Out Your Email,
29,https://ssc.wisc.edu/sscc/pubs/5-24.htm,Setting Up Network Printers in Windows,
