,url
0,http://ssc.wisc.edu/sscc_jsp/spssdocs.jsp
1,https://ssc.wisc.edu/sscc/pubs/4-1.pdf
2,https://ssc.wisc.edu/sscc/pubs/4-11.htm
3,https://ssc.wisc.edu/sscc/pubs/4-12.htm
4,https://ssc.wisc.edu/sscc/pubs/4-16.htm
5,https://ssc.wisc.edu/sscc/pubs/4-17.htm
6,https://ssc.wisc.edu/sscc/pubs/4-18.htm
7,https://ssc.wisc.edu/sscc/pubs/4-19.htm
8,https://ssc.wisc.edu/sscc/pubs/4-2.pdf
9,https://ssc.wisc.edu/sscc/pubs/4-20.htm
10,https://ssc.wisc.edu/sscc/pubs/4-21.htm
11,https://ssc.wisc.edu/sscc/pubs/4-22.htm
12,https://ssc.wisc.edu/sscc/pubs/4-23.htm
13,https://ssc.wisc.edu/sscc/pubs/4-24.htm
14,https://ssc.wisc.edu/sscc/pubs/4-25.htm
15,https://ssc.wisc.edu/sscc/pubs/4-26.htm
16,https://ssc.wisc.edu/sscc/pubs/4-27.htm
17,https://ssc.wisc.edu/sscc/pubs/4-28.htm
18,https://ssc.wisc.edu/sscc/pubs/4-3.pdf
19,https://ssc.wisc.edu/sscc/pubs/4-4.pdf
20,https://ssc.wisc.edu/sscc/pubs/4-5.pdf
21,https://ssc.wisc.edu/sscc/pubs/4-6.pdf
22,https://ssc.wisc.edu/sscc/pubs/7-4.htm
23,https://ssc.wisc.edu/sscc/pubs/DWE/
24,https://ssc.wisc.edu/sscc/pubs/DWE/book/1-programming.html
25,https://ssc.wisc.edu/sscc/pubs/DWE/book/2-data-frames.html
26,https://ssc.wisc.edu/sscc/pubs/DWE/book/3-visual-exploration-of-data.html
27,https://ssc.wisc.edu/sscc/pubs/DWE/book/4-cleaning.html
28,https://ssc.wisc.edu/sscc/pubs/DWE/book/5-transforming-variables.html
29,https://ssc.wisc.edu/sscc/pubs/DWE/book/6-transforming-data-frames.html
30,https://ssc.wisc.edu/sscc/pubs/DWE/book/7-programming-index.html
