Index,Current URL,Title,Doc ID
0,https://ssc.wisc.edu/sscc/about.htm,SSCC History and Governance,
1,https://ssc.wisc.edu/sscc/about/home.htm,About the SSCC,
2,https://ssc.wisc.edu/sscc/about/join.htm,Joining the SSCC,
3,https://ssc.wisc.edu/sscc/about/services.htm,SSCC Services,
4,https://ssc.wisc.edu/sscc/about/training.htm,SSCC Training,
5,https://ssc.wisc.edu/sscc/accounts/home.htm,SSCC Accounts,
6,https://ssc.wisc.edu/sscc/accounts/new.htm,The Social Science Computing Cooperative,
7,https://ssc.wisc.edu/sscc/accounts/socscidiv.htm,The Social Science Computing Cooperative,
8,https://ssc.wisc.edu/sscc/agencies.htm,SSCC Member Agencies,
9,https://ssc.wisc.edu/sscc/helpdesk.htm,SSCC Help Desk,
10,https://ssc.wisc.edu/sscc/index.htm,SSCC - Home,
11,https://ssc.wisc.edu/sscc/infrastructure/computer.htm,SSCC Computers,
12,https://ssc.wisc.edu/sscc/infrastructure/docscan.htm,Document Scanning,
13,https://ssc.wisc.edu/sscc/infrastructure/emerg.htm,Reporting Computer and Network Failures After-hours,
14,https://ssc.wisc.edu/sscc/infrastructure/home.htm,SSCC Infrastructure,
15,https://ssc.wisc.edu/sscc/infrastructure/labs.htm,SSCC Computer Labs,
16,https://ssc.wisc.edu/sscc/infrastructure/sensitive.htm,Sensitive Data Facilities,
17,https://ssc.wisc.edu/sscc/instruction/home.htm,Instructional Support at the SSCC,
18,https://ssc.wisc.edu/sscc/instruction/labusers.htm,Information for SSCC Instructional Lab Users,
19,https://ssc.wisc.edu/sscc/news/silo_expansion.htm,Silo Expansion for SMPH,
20,https://ssc.wisc.edu/sscc/nonmember_statconsult.htm,Statistical Consulting for Researchers Who are Not Members of the SSCC,
21,https://ssc.wisc.edu/sscc/policies/backup.htm,SSCC Data Integrity,
22,https://ssc.wisc.edu/sscc/policies/desktopsupp.htm,SSCC Computer Support Policy,
23,https://ssc.wisc.edu/sscc/policies/home.htm,SSCC Policies,
24,https://ssc.wisc.edu/sscc/policies/inbox.htm,E-mail Storage Limitations,
25,https://ssc.wisc.edu/sscc/policies/legitemail.htm,Identifying Legitimate SSCC Email,
26,https://ssc.wisc.edu/sscc/policies/library.htm,Support for the Campus Software Library,
27,https://ssc.wisc.edu/sscc/policies/password.htm,Password Policy,
28,https://ssc.wisc.edu/sscc/policies/printing.htm,SSCC Printing Policy,
29,https://ssc.wisc.edu/sscc/policies/reset.htm,Resetting Passwords,
30,https://ssc.wisc.edu/sscc/policies/server_usage.htm,Server Usage Policy,
31,https://ssc.wisc.edu/sscc/policies/softsup.htm,SSCC Software Support Policy,
32,https://ssc.wisc.edu/sscc/policies/usage.htm,SSCC Usage Policy,
33,https://ssc.wisc.edu/sscc/policies/webpublish.htm,Web Publishing Policy,
34,https://ssc.wisc.edu/sscc/policies/winstat_session_limits.htm,Winstat Session Limits,
35,https://ssc.wisc.edu/sscc/pubs/1-11.htm,Using SFTP ,102636
36,https://ssc.wisc.edu/sscc/pubs/1-13.htm,Connecting to SSCC Computers Using a WinTerm,102637
37,https://ssc.wisc.edu/sscc/pubs/1-14.htm,Virus Protection at the SSCC,102638
38,https://ssc.wisc.edu/sscc/pubs/1-15.htm,How to Change Your SSCC Passwords,102639
39,https://ssc.wisc.edu/sscc/pubs/1-21.htm,Getting SSCC Announcements via RSS,102640
40,https://ssc.wisc.edu/sscc/pubs/1-4.htm,Publishing a Web Site on the SSCC's Web Server,102641
41,https://ssc.wisc.edu/sscc/pubs/4-11.htm,Using Compressed Data in SAS,
42,https://ssc.wisc.edu/sscc/pubs/4-12.htm,Creating SAS Transport Files,
43,https://ssc.wisc.edu/sscc/pubs/4-13.htm,Programming in Color,
44,https://ssc.wisc.edu/sscc/pubs/4-16.htm,Finding and Installing User-Written Stata Programs,
45,https://ssc.wisc.edu/sscc/pubs/4-17.htm,Using Stat/Transfer,
46,https://ssc.wisc.edu/sscc/pubs/4-18.htm,An Introduction to SAS Data Steps,
47,https://ssc.wisc.edu/sscc/pubs/4-19.htm,Storing SAS Formats,
48,https://ssc.wisc.edu/sscc/pubs/4-20.htm,Saving SAS Graphs For Printing or Other Uses,
49,https://ssc.wisc.edu/sscc/pubs/4-21.htm,A Simple Procedure for Producing Publication-Quality Graphs using SAS,
50,https://ssc.wisc.edu/sscc/pubs/4-22.htm,Making Predictions with Counter-Factual Data in Stata,
51,https://ssc.wisc.edu/sscc/pubs/4-23.htm,Using Stata Graphs in Documents ,
52,https://ssc.wisc.edu/sscc/pubs/4-24.htm,An Introduction to Stata Graphics,
