url,title
https://ssc.wisc.edu/sscc/about.htm,SSCC History and Governance
https://ssc.wisc.edu/sscc/about/home.htm,About the SSCC
https://ssc.wisc.edu/sscc/about/join.htm,Joining the SSCC
https://ssc.wisc.edu/sscc/about/services.htm,SSCC Services
https://ssc.wisc.edu/sscc/about/training.htm,SSCC Training
https://ssc.wisc.edu/sscc/accounts/home.htm,SSCC Accounts
https://ssc.wisc.edu/sscc/accounts/new.htm,The Social Science Computing Cooperative
https://ssc.wisc.edu/sscc/accounts/socscidiv.htm,The Social Science Computing Cooperative
https://ssc.wisc.edu/sscc/agencies.htm,SSCC Member Agencies
https://ssc.wisc.edu/sscc/helpdesk.htm,SSCC Help Desk
https://ssc.wisc.edu/sscc/index.htm,SSCC - Home
https://ssc.wisc.edu/sscc/infrastructure/computer.htm,SSCC Computers
https://ssc.wisc.edu/sscc/infrastructure/docscan.htm,Document Scanning
https://ssc.wisc.edu/sscc/infrastructure/emerg.htm,Reporting Computer and Network Failures After-hours
https://ssc.wisc.edu/sscc/infrastructure/home.htm,SSCC Infrastructure
https://ssc.wisc.edu/sscc/infrastructure/labs.htm,SSCC Computer Labs
https://ssc.wisc.edu/sscc/infrastructure/sensitive.htm,Sensitive Data Facilities
https://ssc.wisc.edu/sscc/instruction/home.htm,Instructional Support at the SSCC
https://ssc.wisc.edu/sscc/instruction/labusers.htm,Information for SSCC Instructional Lab Users
https://ssc.wisc.edu/sscc/news/silo_expansion.htm,Silo Expansion for SMPH
https://ssc.wisc.edu/sscc/nonmember_statconsult.htm,Statistical Consulting for Researchers Who are Not Members of the SSCC
https://ssc.wisc.edu/sscc/policies/backup.htm,SSCC Data Integrity
https://ssc.wisc.edu/sscc/policies/desktopsupp.htm,SSCC Computer Support Policy
https://ssc.wisc.edu/sscc/policies/home.htm,SSCC Policies
https://ssc.wisc.edu/sscc/policies/inbox.htm,E-mail Storage Limitations
https://ssc.wisc.edu/sscc/policies/legitemail.htm,Identifying Legitimate SSCC Email
https://ssc.wisc.edu/sscc/policies/library.htm,Support for the Campus Software Library
https://ssc.wisc.edu/sscc/policies/password.htm,Password Policy
https://ssc.wisc.edu/sscc/policies/printing.htm,SSCC Printing Policy
https://ssc.wisc.edu/sscc/policies/reset.htm,Resetting Passwords
https://ssc.wisc.edu/sscc/policies/server_usage.htm,Server Usage Policy
https://ssc.wisc.edu/sscc/policies/softsup.htm,SSCC Software Support Policy
https://ssc.wisc.edu/sscc/policies/usage.htm,SSCC Usage Policy
https://ssc.wisc.edu/sscc/policies/webpublish.htm,Web Publishing Policy
https://ssc.wisc.edu/sscc/policies/winstat_session_limits.htm,Winstat Session Limits
https://ssc.wisc.edu/sscc/pubs/1-11.htm,Using SFTP 
https://ssc.wisc.edu/sscc/pubs/1-13.htm,Connecting to SSCC Computers Using a WinTerm
https://ssc.wisc.edu/sscc/pubs/1-14.htm,Virus Protection at the SSCC
https://ssc.wisc.edu/sscc/pubs/1-15.htm,How to Change Your SSCC Passwords
https://ssc.wisc.edu/sscc/pubs/1-21.htm,Getting SSCC Announcements via RSS
https://ssc.wisc.edu/sscc/pubs/1-4.htm,Publishing a Web Site on the SSCC's Web Server
https://ssc.wisc.edu/sscc/pubs/4-11.htm,Using Compressed Data in SAS
https://ssc.wisc.edu/sscc/pubs/4-12.htm,Creating SAS Transport Files
https://ssc.wisc.edu/sscc/pubs/4-13.htm,Programming in Color
https://ssc.wisc.edu/sscc/pubs/4-16.htm,Finding and Installing User-Written Stata Programs
